# FieldID,R.A.,Dec.,R.A. [decimal],Dec. [decimal],Net Prob
E1S055,13:03:34.6,-22:10:21.9,195.8939781210567,-22.172743205083727,0.009175329545885624
E1S056,13:03:26.6,-19:11:29.6,195.86097196606696,-19.191543205083732,0.008862095735871382
E1S057,13:02:32.2,-21:40:33.2,195.6340306803853,-21.67587653841706,0.008455631607304608
E1S058,12:54:52.8,-17:12:14.7,193.72016605445975,-17.20407653841707,0.008419709073358329
E1S059,13:18:09.1,-26:38:40.4,199.53811194830652,-26.644543205083718,0.008210884167069242
E1S060,13:14:46.0,-27:08:29.1,198.69186909820823,-27.141409871750383,0.008206884797772127
E1S061,13:18:55.5,-28:08:06.5,199.7314453125,-28.135143205083715,0.007927123024983955
E1S062,12:56:15.0,-16:42:26.0,194.0625,-16.707209871750404,0.007741217096108871
E1S063,12:54:11.0,-16:42:26.0,193.54575287237867,-16.707209871750404,0.007021989345413463
E1S064,13:15:48.7,-27:38:17.8,198.95303633121966,-27.63827653841705,0.00694615776179064
E1S065,13:19:37.7,-28:37:55.2,199.9072265625,-28.63200987175038,0.006764179756880506
E1S066,13:02:33.5,-18:41:40.8,195.63968792303285,-18.694676538417067,0.006751311534469787
E1S067,13:19:13.0,-27:08:29.1,199.80422465179177,-27.141409871750383,0.0066796281421127104
E1S068,13:04:05.3,-22:40:10.6,196.0219825318477,-22.669609871750392,0.006591514899675941
E1S069,12:59:54.6,-17:42:03.4,194.9775375125952,-17.700943205083735,0.006518868880556891
E1S070,13:21:02.1,-29:07:44.0,200.2587890625,-29.128876538417046,0.0063963634589675735
E1S071,12:53:50.2,-16:12:37.2,193.4591844505214,-16.21034320508374,0.005934492843064075
E1S072,13:01:29.9,-18:11:52.1,195.3745068613141,-18.1978098717504,0.005757804560273039
E1S073,13:20:16.9,-27:38:17.8,200.07040116878034,-27.63827653841705,0.005594884014770188
E1S074,13:22:15.9,-29:37:32.7,200.56640625,-29.62574320508371,0.005484371122995326
E1S075,13:16:40.8,-28:08:06.5,199.17019319287272,-28.135143205083715,0.005434342266634429
E1S076,12:55:53.9,-16:12:37.2,193.974609375,-16.21034320508374,0.00537929067887731
E1S077,12:59:01.5,-17:12:14.7,194.75639644554025,-17.20407653841707,0.005361252956668647
E1S078,13:21:10.2,-28:08:06.5,200.29269743212728,-28.135143205083715,0.005353303257027407
E1S079,12:56:17.3,-18:41:40.8,194.0721866539343,-18.694676538417067,0.005249873275776385
E1S080,13:21:53.1,-28:37:55.2,200.47111473295905,-28.63200987175038,0.005110608707544918
E1S081,12:55:14.8,-18:11:52.1,193.8115331523718,-18.1978098717504,0.004926975243801001
E1S082,12:57:09.3,-19:11:29.6,194.2887982553661,-19.191543205083732,0.004835882996017246
E1S083,13:04:46.5,-23:09:59.3,196.19382342750282,-23.166476538417058,0.004631475907723286
E1S084,12:58:01.3,-19:41:18.3,194.50531193216813,-19.688409871750398,0.0045257811186682016
E1S085,12:54:50.6,-15:42:48.5,193.7109375,-15.713476538417071,0.004457086317040408
E1S086,13:22:15.9,-30:07:21.4,200.56640625,-30.122609871750377,0.004409014828330637
E1S087,12:59:45.1,-20:40:55.7,194.93803990310437,-20.68214320508373,0.0043378569468329
E1S088,12:52:47.2,-15:42:48.5,193.19678946318948,-15.713476538417071,0.004325254294095089
E1S089,13:23:18.1,-29:07:44.0,200.82538097243028,-29.128876538417046,0.004290541862984894
E1S090,12:58:19.0,-16:42:26.0,194.57924712762133,-16.707209871750404,0.004172317453742925
E1S091,13:24:33.3,-30:07:21.4,201.13861430822348,-30.122609871750377,0.004137500776025973
E1S092,12:58:42.7,-20:11:07.0,194.67778098299493,-20.185276538417064,0.004136552833883748
E1S093,13:07:53.4,-24:39:25.5,196.972346691729,-24.657076538417055,0.003982568120963256
E1S094,13:05:38.3,-23:39:48.0,196.40949900834755,-23.663343205083724,0.003939119726812517
E1S095,13:18:46.1,-29:07:44.0,199.69219715256972,-29.128876538417046,0.003835122451126737
E1S096,13:09:47.2,-25:39:02.9,197.44683793633624,-25.650809871750386,0.0038292472876025963
E1S097,13:08:45.0,-25:09:14.2,197.18767891532104,-25.15394320508372,0.0037771403793525424
E1S098,13:25:05.6,-30:37:10.1,201.27336558659198,-30.619476538417043,0.0037385293865067194
E1S099,13:17:22.4,-28:37:55.2,199.34333839204095,-28.63200987175038,0.003695780449002395
E1S100,13:06:40.6,-24:09:36.8,196.6690074081253,-24.16020987175039,0.003686038936243166
E1S101,13:00:37.0,-21:10:44.4,195.15425125773191,-21.179009871750395,0.0036549149072455612
E1S102,13:24:32.6,-29:37:32.7,201.13577097607015,-29.62574320508371,0.0035673585304192112
E1S103,13:09:06.6,-21:10:44.4,197.27738936726809,-21.179009871750395,0.0035243830892078215
E1S104,13:19:59.3,-29:37:32.7,199.99704152392985,-29.62574320508371,0.0034989753678108595
E1S105,13:22:47.6,-30:37:10.1,200.6982421875,-30.619476538417043,0.0033949560120690725
E1S106,13:13:23.3,-23:09:59.3,198.34719219749718,-23.166476538417058,0.0032797891842130536
E1S107,13:07:08.9,-20:11:07.0,196.78706276700507,-20.185276538417064,0.003261663191006449
E1S108,12:52:05.3,-15:12:59.8,193.02224031270669,-15.216609871750403,0.0031608923239647355
E1S109,13:08:13.0,-20:40:55.7,197.05414759689563,-20.68214320508373,0.0031272512610706297
E1S110,13:26:20.2,-31:06:58.8,201.58397167188164,-31.11634320508371,0.003115779742441318
E1S111,13:14:17.0,-23:39:48.0,198.57096974165245,-23.663343205083724,0.0030908953806663875
E1S112,12:53:40.5,-17:42:03.4,193.4189484123096,-17.700943205083735,0.003028729337838512
E1S113,13:12:40.2,-22:40:10.6,198.1674705931523,-22.669609871750392,0.0030047100139256686
E1S114,13:24:01.4,-31:06:58.8,201.005859375,-31.11634320508371,0.0030010456608157887
E1S115,12:51:46.5,-16:12:37.2,192.9437595260428,-16.21034320508374,0.0029009898356535642
E1S116,12:54:08.4,-15:12:59.8,193.53515625,-15.216609871750403,0.0027782065746452572
E1S117,13:10:28.3,-26:08:51.6,197.6179856608618,-26.147676538417052,0.0027452768993977026
E1S118,12:52:48.5,-17:12:14.7,193.2020508589195,-17.20407653841707,0.0027287183581397585
E1S119,13:15:21.3,-24:09:36.8,198.8388050918747,-24.16020987175039,0.002694352650073119
E1S120,13:11:30.5,-26:38:40.4,197.87690110338696,-26.644543205083718,0.0025679768540390565
E1S121,12:52:07.0,-16:42:26.0,193.02900574475734,-16.707209871750404,0.0025228617247608264
E1S122,13:26:39.6,-31:36:47.6,201.6650390625,-31.613209871750374,0.002504551984477161
E1S123,13:17:30.0,-25:09:14.2,199.37482108467896,-25.15394320508372,0.002492622712265063
E1S124,13:12:32.6,-27:08:29.1,198.13569132141646,-27.141409871750383,0.0022953137769812708
E1S125,13:19:17.6,-26:08:51.6,199.8234205891382,-26.147676538417052,0.002199830902193315
E1S126,12:51:23.4,-14:43:11.1,192.84764687997202,-14.719743205083736,0.0021696306481210964
E1S127,13:18:34.3,-25:39:02.9,199.64300581366376,-25.650809871750386,0.0021018924545291176
E1S128,13:16:36.2,-24:39:25.5,199.150700183271,-24.657076538417055,0.002086209228647985
E1S129,12:57:57.6,-16:12:37.2,194.4900342994786,-16.21034320508374,0.0020454158484075093
E1S130,13:13:34.6,-27:38:17.8,198.39435391243933,-27.63827653841705,0.002002200253454194
E1S131,13:27:23.6,-30:37:10.1,201.84848898568396,-30.619476538417043,0.0019453464348616828
E1S132,12:50:43.8,-15:42:48.5,192.68264142637895,-15.713476538417071,0.001933762942084258
E1S133,13:06:25.9,-19:41:18.3,196.60796931783187,-19.688409871750398,0.0019151642527647944
